gender,age_group,ethnicity,years_experience,education_level,interview_score,hired
Male,31-45,Hispanic,14,HS,53,1
Female,46-60,Black,11,PhD,75,1
Female,18-30,Black,15,Bachelor,72,1
Female,18-30,Hispanic,18,PhD,62,1
Male,18-30,Hispanic,7,PhD,89,1
Male,18-30,Hispanic,16,HS,84,1
Male,60+,Asian,4,Master,41,1
Female,18-30,Black,15,HS,80,1
Female,60+,Asian,5,Master,60,0
Female,60+,Asian,7,HS,41,0
Male,18-30,Hispanic,17,PhD,66,0
Female,18-30,Hispanic,11,HS,96,1
Female,31-45,White,14,HS,48,1
Male,46-60,White,8,HS,40,0
Male,18-30,Asian,12,PhD,50,1
Male,31-45,Black,14,PhD,42,1
Male,31-45,Hispanic,9,PhD,91,1
Female,46-60,Hispanic,15,PhD,62,0
Male,60+,Asian,6,Master,65,1
Male,18-30,White,16,Master,43,1
Female,46-60,Black,6,Bachelor,57,0
Male,18-30,White,13,PhD,94,1
Male,31-45,White,14,Master,45,0
Male,31-45,White,6,HS,74,0
Male,60+,White,8,PhD,61,0
Female,31-45,Hispanic,18,Bachelor,82,1
Male,31-45,Hispanic,15,Bachelor,54,0
Female,46-60,White,7,Bachelor,61,0
Female,18-30,Black,17,HS,99,1
Male,18-30,Asian,17,Master,76,1
Female,46-60,Black,19,HS,91,0
Male,60+,Black,6,PhD,81,1
Male,18-30,Black,2,Bachelor,51,1
Female,31-45,White,17,HS,86,1
Female,18-30,Hispanic,9,HS,88,0
Female,31-45,Black,6,Master,81,0
Male,60+,White,16,Master,77,0
Male,46-60,Black,13,Bachelor,57,1
Female,18-30,Black,2,HS,84,1
Male,46-60,White,11,HS,74,1
Male,18-30,Hispanic,12,Master,69,1
Male,31-45,Hispanic,1,HS,63,1
Male,46-60,Asian,2,HS,81,0
Female,18-30,White,4,HS,69,0
Male,31-45,Asian,10,Master,53,0
Female,46-60,Asian,7,Bachelor,45,0
Male,46-60,Asian,11,PhD,42,0
Female,18-30,Hispanic,6,Bachelor,55,1
Female,18-30,White,14,PhD,46,0
Male,18-30,Asian,16,HS,91,0
Female,31-45,White,3,Bachelor,53,1
Female,18-30,White,12,PhD,48,0
Female,46-60,Hispanic,17,Master,54,0
Female,46-60,Asian,0,Master,60,0
Female,18-30,Asian,15,Bachelor,74,0
Female,18-30,White,12,Bachelor,41,0
Male,60+,Black,9,HS,66,0
Male,46-60,Hispanic,11,Bachelor,41,1
Male,31-45,Hispanic,1,HS,74,0
Male,60+,Hispanic,2,HS,57,1
Male,18-30,Hispanic,9,Master,53,1
Male,18-30,Asian,1,Master,59,1
Female,46-60,Asian,12,PhD,57,0
Male,18-30,Black,12,Master,49,1
Male,31-45,Hispanic,17,Master,64,0
Female,46-60,Hispanic,2,Bachelor,41,0
Male,18-30,White,6,Master,64,1
Female,46-60,Asian,13,PhD,93,1
Male,18-30,Hispanic,19,Bachelor,72,0
Female,18-30,Black,16,PhD,75,0
Female,18-30,Black,11,Master,70,0
Male,31-45,Asian,15,PhD,53,1
Male,31-45,Black,11,Bachelor,40,1
Female,46-60,Black,14,HS,85,1
Female,18-30,Asian,9,PhD,55,1
Female,18-30,Hispanic,6,PhD,93,1
Female,31-45,Hispanic,19,Bachelor,85,0
Male,18-30,Black,4,Bachelor,91,1
Male,31-45,Black,0,PhD,42,1
Male,18-30,Hispanic,16,Master,74,1
Female,46-60,Asian,2,PhD,80,1
Female,18-30,Black,12,Bachelor,45,1
Male,18-30,White,13,HS,64,1
Male,60+,Asian,17,HS,52,1
Male,31-45,Black,3,Master,92,0
Male,18-30,Black,17,PhD,73,0
Female,18-30,White,4,HS,47,1
Female,60+,White,15,PhD,60,1
Female,60+,Hispanic,0,Bachelor,73,0
Male,31-45,Asian,13,HS,43,1
Male,60+,Asian,14,Master,64,1
Female,46-60,Hispanic,8,Bachelor,54,0
Female,60+,Asian,14,Master,43,1
Female,46-60,Asian,16,Bachelor,84,0
Female,31-45,Asian,3,HS,99,0
Male,31-45,Asian,11,Master,51,1
Female,31-45,Asian,4,Master,71,1
Male,31-45,White,4,Bachelor,71,0
Male,31-45,Asian,10,Master,67,1
Male,46-60,White,5,Bachelor,52,1
Male,46-60,Asian,6,Bachelor,70,0
Female,31-45,Hispanic,13,Bachelor,53,0
Male,60+,Black,10,Bachelor,59,1
Female,18-30,White,12,HS,57,0
Female,31-45,Asian,1,Bachelor,68,1
Male,60+,Hispanic,6,PhD,99,0
